Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
April 2018 First Open Bidding Exercise,4/4/2018,2018,Cat C (Goods vehicles and buses),292,34001,500,290
March 2018 Second Open Bidding Exercise,21/03/2018,2018,Cat C (Goods vehicles and buses),247,35001,378,234
March 2018 First Open Bidding Exercise,7/3/2018,2018,Cat C (Goods vehicles and buses),247,36003,446,202
February 2018 Second Open Bidding Exercise,21/02/2018,2018,Cat C (Goods vehicles and buses),257,36859,489,256
February 2018 First Open Bidding Exercise,7/2/2018,2018,Cat C (Goods vehicles and buses),249,38303,486,249
January 2018 Second Open Bidding Exercise,17/01/2018,2018,Cat C (Goods vehicles and buses),257,39000,399,247
January 2018 First Open Bidding Exercise,4/1/2018,2018,Cat C (Goods vehicles and buses),249,40101,458,247
December 2017 Second Open Bidding Exercise,20/12/2017,2017,Cat C (Goods vehicles and buses),246,45112,482,232
December 2017 First Open Bidding Exercise,6/12/2017,2017,Cat C (Goods vehicles and buses),285,42000,454,279
November 2017 Second Open Bidding Exercise,22/11/2017,2017,Cat C (Goods vehicles and buses),244,57701,356,241
November 2017 First Open Bidding Exercise,8/11/2017,2017,Cat C (Goods vehicles and buses),242,58036,375,200
October 2017 Second Open Bidding Exercise,19/10/2017,2017,Cat C (Goods vehicles and buses),445,51890,611,443
October 2017 First Open Bidding Exercise,4/10/2017,2017,Cat C (Goods vehicles and buses),492,48902,723,492
September 2017 Second Open Bidding Exercise,20/09/2017,2017,Cat C (Goods vehicles and buses),453,46890,706,453
September 2017 First Open Bidding Exercise,6/9/2017,2017,Cat C (Goods vehicles and buses),453,43002,695,406
August 2017 Second Open Bidding Exercise,23/08/2017,2017,Cat C (Goods vehicles and buses),445,42004,836,436
August 2017 First Open Bidding Exercise,10/8/2017,2017,Cat C (Goods vehicles and buses),454,42801,742,445
July 2017 Second Open Bidding Exercise,19/07/2017,2017,Cat C (Goods vehicles and buses),"1,085",42809,1943,"1,084"
July 2017 First Open Bidding Exercise,5/7/2017,2017,Cat C (Goods vehicles and buses),"1,088",40212,2189,"1,078"
June 2017 Second Open Bidding Exercise,21/06/2017,2017,Cat C (Goods vehicles and buses),"1,086",36879,2125,"1,085"
June 2017 First Open Bidding Exercise,7/6/2017,2017,Cat C (Goods vehicles and buses),"1,091",38501,2309,"1,087"
May 2017 Second Open Bidding Exercise,24/05/2017,2017,Cat C (Goods vehicles and buses),"1,085",30600,2492,"1,084"
May 2017 First Open Bidding Exercise,11/5/2017,2017,Cat C (Goods vehicles and buses),"1,084",26029,2586,"1,078"
April 2017 Second Open Bidding Exercise,26/04/2017,2017,Cat C (Goods vehicles and buses),163,26501,509,162
April 2017 First Open Bidding Exercise,12/4/2017,2017,Cat C (Goods vehicles and buses),162,45906,351,162
March 2017 Second Open Bidding Exercise,29/03/2017,2017,Cat C (Goods vehicles and buses),164,47036,251,163
March 2017 First Open Bidding Exercise,15/03/2017,2017,Cat C (Goods vehicles and buses),170,49002,216,170
February 2017 Second Open Bidding Exercise,24/02/2017,2017,Cat C (Goods vehicles and buses),174,49810,249,171
February 2017 First Open Bidding Exercise,8/2/2017,2017,Cat C (Goods vehicles and buses),164,48901,268,155
January 2017 Second Open Bidding Exercise,18/01/2017,2017,Cat C (Goods vehicles and buses),186,47001,254,173
January 2017 First Open Bidding Exercise,5/1/2017,2017,Cat C (Goods vehicles and buses),183,46302,271,180
December 2016 Second Open Bidding Exercise,21/12/2016,2016,Cat C (Goods vehicles and buses),182,49500,274,176
December 2016 First Open Bidding Exercise,7/12/2016,2016,Cat C (Goods vehicles and buses),185,51209,262,183
November 2016 Second Open Bidding Exercise,23/11/2016,2016,Cat C (Goods vehicles and buses),182,49002,286,181
November 2016 First Open Bidding Exercise,9/11/2016,2016,Cat C (Goods vehicles and buses),185,48001,283,181
October 2016 Second Open Bidding Exercise,19/10/2016,2016,Cat C (Goods vehicles and buses),188,45589,252,187
October 2016 First Open Bidding Exercise,5/10/2016,2016,Cat C (Goods vehicles and buses),176,48702,232,172
September 2016 Second Open Bidding Exercise,21/09/2016,2016,Cat C (Goods vehicles and buses),177,49890,237,165
September 2016 First Open Bidding Exercise,7/9/2016,2016,Cat C (Goods vehicles and buses),175,49801,260,175
August 2016 Second Open Bidding Exercise,17/08/2016,2016,Cat C (Goods vehicles and buses),180,48001,236,178
August 2016 First Open Bidding Exercise,3/8/2016,2016,Cat C (Goods vehicles and buses),177,48302,245,177
July 2016 Second Open Bidding Exercise,20/07/2016,2016,Cat C (Goods vehicles and buses),230,49890,344,225
July 2016 First Open Bidding Exercise,7/7/2016,2016,Cat C (Goods vehicles and buses),237,47889,310,235
June 2016 Second Open Bidding Exercise,22/06/2016,2016,Cat C (Goods vehicles and buses),228,48002,342,226
June 2016 First Open Bidding Exercise,8/6/2016,2016,Cat C (Goods vehicles and buses),228,46434,347,219
May 2016 Second Open Bidding Exercise,18/05/2016,2016,Cat C (Goods vehicles and buses),229,43002,355,229
May 2016 First Open Bidding Exercise,5/5/2016,2016,Cat C (Goods vehicles and buses),232,42302,324,232
April 2016 Second Open Bidding Exercise,20/04/2016,2016,Cat C (Goods vehicles and buses),163,43002,241,162
April 2016 First Open Bidding Exercise,6/4/2016,2016,Cat C (Goods vehicles and buses),164,44213,235,161
March 2016 Second Open Bidding Exercise,23/03/2016,2016,Cat C (Goods vehicles and buses),167,46502,226,166
March 2016 First Open Bidding Exercise,9/3/2016,2016,Cat C (Goods vehicles and buses),162,48890,259,160
February 2016 Second Open Bidding Exercise,17/02/2016,2016,Cat C (Goods vehicles and buses),165,45001,239,160
February 2016 First Open Bidding Exercise,3/2/2016,2016,Cat C (Goods vehicles and buses),164,45036,229,164
January 2016 Second Open Bidding Exercise,20/01/2016,2016,Cat C (Goods vehicles and buses),242,46502,387,239
January 2016 First Open Bidding Exercise,6/1/2016,2016,Cat C (Goods vehicles and buses),246,42036,353,245
December 2015 Second Open Bidding Exercise,23/12/2015,2015,Cat C (Goods vehicles and buses),244,46001,311,243
December 2015 First Open Bidding Exercise,9/12/2015,2015,Cat C (Goods vehicles and buses),241,48101,345,236
November 2015 Second Open Bidding Exercise,18/11/2015,2015,Cat C (Goods vehicles and buses),247,45890,389,244
November 2015 First Open Bidding Exercise,4/11/2015,2015,Cat C (Goods vehicles and buses),241,43809,372,240
October 2015 Second Open Bidding Exercise,21/10/2015,2015,Cat C (Goods vehicles and buses),192,42303,340,186
October 2015 First Open Bidding Exercise,7/10/2015,2015,Cat C (Goods vehicles and buses),182,44890,331,181
September 2015 Second Open Bidding Exercise,23/09/2015,2015,Cat C (Goods vehicles and buses),182,45289,356,172
September 2015 First Open Bidding Exercise,9/9/2015,2015,Cat C (Goods vehicles and buses),182,46801,371,182
August 2015 Second Open Bidding Exercise,19/08/2015,2015,Cat C (Goods vehicles and buses),182,46501,282,182
August 2015 First Open Bidding Exercise,5/8/2015,2015,Cat C (Goods vehicles and buses),183,49302,263,183
July 2015 Second Open Bidding Exercise,22/07/2015,2015,Cat C (Goods vehicles and buses),371,50002,455,371
July 2015 First Open Bidding Exercise,8/7/2015,2015,Cat C (Goods vehicles and buses),370,50001,476,370
June 2015 Second Open Bidding Exercise,17/06/2015,2015,Cat C (Goods vehicles and buses),373,50502,481,370
June 2015 First Open Bidding Exercise,4/6/2015,2015,Cat C (Goods vehicles and buses),371,50900,508,369
May 2015 Second Open Bidding Exercise,20/05/2015,2015,Cat C (Goods vehicles and buses),370,52001,546,365
May 2015 First Open Bidding Exercise,6/5/2015,2015,Cat C (Goods vehicles and buses),373,50098,545,370
April 2015 Second Open Bidding Exercise,22/04/2015,2015,Cat C (Goods vehicles and buses),194,53001,284,192
April 2015 First Open Bidding Exercise,8/4/2015,2015,Cat C (Goods vehicles and buses),188,64001,290,183
March 2015 Second Open Bidding Exercise,18/03/2015,2015,Cat C (Goods vehicles and buses),184,59999,345,175
March 2015 First Open Bidding Exercise,4/3/2015,2015,Cat C (Goods vehicles and buses),186,56501,315,183
February 2015 Second Open Bidding Exercise,17/02/2015,2015,Cat C (Goods vehicles and buses),185,53202,333,185
February 2015 First Open Bidding Exercise,4/2/2015,2015,Cat C (Goods vehicles and buses),185,52101,311,183
January 2015 Second Open Bidding Exercise,21/01/2015,2015,Cat C (Goods vehicles and buses),140,55012,247,139
January 2015 First Open Bidding Exercise,7/1/2015,2015,Cat C (Goods vehicles and buses),156,55011,296,155
December 2014 Second Open Bidding Exercise,17/12/2014,2014,Cat C (Goods vehicles and buses),149,52100,268,149
December 2014 First Open Bidding Exercise,3/12/2014,2014,Cat C (Goods vehicles and buses),141,60001,196,126
November 2014 Second Open Bidding Exercise,19/11/2014,2014,Cat C (Goods vehicles and buses),142,65001,260,134
November 2014 First Open Bidding Exercise,5/11/2014,2014,Cat C (Goods vehicles and buses),143,63701,257,143
October 2014 Second Open Bidding Exercise,23/10/2014,2014,Cat C (Goods vehicles and buses),267,61000,416,266
October 2014 First Open Bidding Exercise,9/10/2014,2014,Cat C (Goods vehicles and buses),259,57389,516,257
September 2014 Second Open Bidding Exercise,17/09/2014,2014,Cat C (Goods vehicles and buses),261,49889,437,252
September 2014 First Open Bidding Exercise,3/9/2014,2014,Cat C (Goods vehicles and buses),258,49901,429,256
August 2014 Second Open Bidding Exercise,20/08/2014,2014,Cat C (Goods vehicles and buses),257,52390,427,254
August 2014 First Open Bidding Exercise,6/8/2014,2014,Cat C (Goods vehicles and buses),267,54009,519,267
July 2014 Second Open Bidding Exercise,23/07/2014,2014,Cat C (Goods vehicles and buses),391,52010,779,391
July 2014 First Open Bidding Exercise,9/7/2014,2014,Cat C (Goods vehicles and buses),392,43390,653,383
June 2014 Second Open Bidding Exercise,18/06/2014,2014,Cat C (Goods vehicles and buses),391,42001,597,385
June 2014 First Open Bidding Exercise,4/6/2014,2014,Cat C (Goods vehicles and buses),385,43001,617,378
May 2014 Second Open Bidding Exercise,21/05/2014,2014,Cat C (Goods vehicles and buses),392,40889,709,386
May 2014 First Open Bidding Exercise,7/5/2014,2014,Cat C (Goods vehicles and buses),389,36301,715,389
April 2014 Second Open Bidding Exercise,23/04/2014,2014,Cat C (Goods vehicles and buses),272,32980,392,266
April 2014 First Open Bidding Exercise,9/4/2014,2014,Cat C (Goods vehicles and buses),265,49503,303,261
March 2014 Second Open Bidding Exercise,19/03/2014,2014,Cat C (Goods vehicles and buses),266,53891,356,256
March 2014 First Open Bidding Exercise,5/3/2014,2014,Cat C (Goods vehicles and buses),265,56302,439,262
February 2014 Second Open Bidding Exercise,19/02/2014,2014,Cat C (Goods vehicles and buses),277,52890,392,273
February 2014 First Open Bidding Exercise,5/2/2014,2014,Cat C (Goods vehicles and buses),267,51002,364,264
January 2014 Second Open Bidding Exercise,22/01/2014,2014,Cat C (Goods vehicles and buses),264,50001,356,249
January 2014 First Open Bidding Exercise,8/1/2014,2014,Cat C (Goods vehicles and buses),258,48889,337,252
December 2013 Second Open Bidding Exercise,18/12/2013,2013,Cat C (Goods vehicles and buses),263,48001,338,256
December 2013 First Open Bidding Exercise,4/12/2013,2013,Cat C (Goods vehicles and buses),258,51112,359,257
November 2013 Second Open Bidding Exercise,20/11/2013,2013,Cat C (Goods vehicles and buses),258,55002,397,252
November 2013 First Open Bidding Exercise,6/11/2013,2013,Cat C (Goods vehicles and buses),257,55503,427,256
October 2013 Second Open Bidding Exercise,23/10/2013,2013,Cat C (Goods vehicles and buses),263,68002,358,262
October 2013 First Open Bidding Exercise,9/10/2013,2013,Cat C (Goods vehicles and buses),261,76310,315,261
September 2013 Second Open Bidding Exercise,18/09/2013,2013,Cat C (Goods vehicles and buses),263,76001,321,257
September 2013 First Open Bidding Exercise,4/9/2013,2013,Cat C (Goods vehicles and buses),258,73999,340,254
August 2013 Second Open Bidding Exercise,21/08/2013,2013,Cat C (Goods vehicles and buses),263,71001,385,257
August 2013 First Open Bidding Exercise,7/8/2013,2013,Cat C (Goods vehicles and buses),258,68251,364,257
July 2013 Second Open Bidding Exercise,17/07/2013,2013,Cat C (Goods vehicles and buses),232,65036,335,226
July 2013 First Open Bidding Exercise,3/7/2013,2013,Cat C (Goods vehicles and buses),226,61011,301,226
June 2013 Second Open Bidding Exercise,19/06/2013,2013,Cat C (Goods vehicles and buses),227,59001,289,221
June 2013 First Open Bidding Exercise,5/6/2013,2013,Cat C (Goods vehicles and buses),227,57989,292,226
May 2013 Second Open Bidding Exercise,22/05/2013,2013,Cat C (Goods vehicles and buses),233,56889,288,232
May 2013 First Open Bidding Exercise,8/5/2013,2013,Cat C (Goods vehicles and buses),225,57051,312,223
April 2013 Second Open Bidding Exercise,24/04/2013,2013,Cat C (Goods vehicles and buses),225,58502,354,218
April 2013 First Open Bidding Exercise,10/4/2013,2013,Cat C (Goods vehicles and buses),227,56011,334,227
March 2013 Second Open Bidding Exercise,27/03/2013,2013,Cat C (Goods vehicles and buses),225,54111,312,225
March 2013 First Open Bidding Exercise,13/03/2013,2013,Cat C (Goods vehicles and buses),225,53900,374,223
February 2013 Second Open Bidding Exercise,20/02/2013,2013,Cat C (Goods vehicles and buses),225,53489,285,225
February 2013 First Open Bidding Exercise,6/2/2013,2013,Cat C (Goods vehicles and buses),230,54989,316,230
January 2013 Second Open Bidding Exercise,23/01/2013,2013,Cat C (Goods vehicles and buses),184,57051,262,184
January 2013 First Open Bidding Exercise,9/1/2013,2013,Cat C (Goods vehicles and buses),193,60000,244,188
December 2012 Second Open Bidding Exercise,19/12/2012,2012,Cat C (Goods vehicles and buses),182,62201,242,178
December 2012 First Open Bidding Exercise,5/12/2012,2012,Cat C (Goods vehicles and buses),181,63035,281,168
November 2012 Second Open Bidding Exercise,21/11/2012,2012,Cat C (Goods vehicles and buses),179,60235,254,177
November 2012 First Open Bidding Exercise,7/11/2012,2012,Cat C (Goods vehicles and buses),181,59111,268,180
October 2012 Second Open Bidding Exercise,17/10/2012,2012,Cat C (Goods vehicles and buses),180,57889,229,180
October 2012 First Open Bidding Exercise,3/10/2012,2012,Cat C (Goods vehicles and buses),186,56001,221,185
September 2012 Second Open Bidding Exercise,19/09/2012,2012,Cat C (Goods vehicles and buses),182,57809,230,181
September 2012 First Open Bidding Exercise,5/9/2012,2012,Cat C (Goods vehicles and buses),183,57334,269,177
August 2012 Second Open Bidding Exercise,23/08/2012,2012,Cat C (Goods vehicles and buses),181,59334,261,178
August 2012 First Open Bidding Exercise,8/8/2012,2012,Cat C (Goods vehicles and buses),183,57001,241,180
July 2012 Second Open Bidding Exercise,18/07/2012,2012,Cat C (Goods vehicles and buses),163,55805,222,162
July 2012 First Open Bidding Exercise,4/7/2012,2012,Cat C (Goods vehicles and buses),164,55556,234,161
June 2012 Second Open Bidding Exercise,20/06/2012,2012,Cat C (Goods vehicles and buses),161,54502,242,158
June 2012 First Open Bidding Exercise,6/6/2012,2012,Cat C (Goods vehicles and buses),159,54522,258,155
May 2012 Second Open Bidding Exercise,23/05/2012,2012,Cat C (Goods vehicles and buses),162,57106,205,161
May 2012 First Open Bidding Exercise,9/5/2012,2012,Cat C (Goods vehicles and buses),159,58553,218,159
April 2012 Second Open Bidding Exercise,18/04/2012,2012,Cat C (Goods vehicles and buses),160,57589,261,158
April 2012 First Open Bidding Exercise,4/4/2012,2012,Cat C (Goods vehicles and buses),163,53989,222,163
March 2012 Second Open Bidding Exercise,21/03/2012,2012,Cat C (Goods vehicles and buses),174,51511,241,174
March 2012 First Open Bidding Exercise,7/3/2012,2012,Cat C (Goods vehicles and buses),163,50009,247,159
February 2012 Second Open Bidding Exercise,22/02/2012,2012,Cat C (Goods vehicles and buses),164,52004,248,149
February 2012 First Open Bidding Exercise,8/2/2012,2012,Cat C (Goods vehicles and buses),162,49801,307,158
January 2012 Second Open Bidding Exercise,18/01/2012,2012,Cat C (Goods vehicles and buses),241,44001,405,236
January 2012 First Open Bidding Exercise,5/1/2012,2012,Cat C (Goods vehicles and buses),242,38699,357,239
December 2011 Second Open Bidding Exercise,21/12/2011,2011,Cat C (Goods vehicles and buses),249,39589,361,249
December 2011 First Open Bidding Exercise,7/12/2011,2011,Cat C (Goods vehicles and buses),242,40009,334,242
November 2011 Second Open Bidding Exercise,23/11/2011,2011,Cat C (Goods vehicles and buses),256,40189,335,248
November 2011 First Open Bidding Exercise,10/11/2011,2011,Cat C (Goods vehicles and buses),244,40803,365,244
October 2011 Second Open Bidding Exercise,19/10/2011,2011,Cat C (Goods vehicles and buses),244,37011,354,229
October 2011 First Open Bidding Exercise,5/10/2011,2011,Cat C (Goods vehicles and buses),249,32801,348,247
September 2011 Second Open Bidding Exercise,21/09/2011,2011,Cat C (Goods vehicles and buses),250,30089,325,248
September 2011 First Open Bidding Exercise,7/9/2011,2011,Cat C (Goods vehicles and buses),243,31900,328,236
August 2011 Second Open Bidding Exercise,17/08/2011,2011,Cat C (Goods vehicles and buses),245,32289,367,237
August 2011 First Open Bidding Exercise,3/8/2011,2011,Cat C (Goods vehicles and buses),241,34009,383,239
July 2011 Second Open Bidding Exercise,20/07/2011,2011,Cat C (Goods vehicles and buses),284,34502,393,281
July 2011 First Open Bidding Exercise,6/7/2011,2011,Cat C (Goods vehicles and buses),276,32590,375,276
June 2011 Second Open Bidding Exercise,22/06/2011,2011,Cat C (Goods vehicles and buses),279,31089,391,270
June 2011 First Open Bidding Exercise,8/6/2011,2011,Cat C (Goods vehicles and buses),276,29006,457,276
May 2011 Second Open Bidding Exercise,19/05/2011,2011,Cat C (Goods vehicles and buses),283,22989,381,279
May 2011 First Open Bidding Exercise,5/5/2011,2011,Cat C (Goods vehicles and buses),277,21889,366,277
April 2011 Second Open Bidding Exercise,20/04/2011,2011,Cat C (Goods vehicles and buses),227,23900,346,269
April 2011 First Open Bidding Exercise,6/4/2011,2011,Cat C (Goods vehicles and buses),276,28189,316,275
March 2011 Second Open Bidding Exercise,23/03/2011,2011,Cat C (Goods vehicles and buses),281,29690,371,279
March 2011 First Open Bidding Exercise,9/3/2011,2011,Cat C (Goods vehicles and buses),276,30001,360,276
February 2011 Second Open Bidding Exercise,23/02/2011,2011,Cat C (Goods vehicles and buses),287,29011,368,282
February 2011 First Open Bidding Exercise,9/2/2011,2011,Cat C (Goods vehicles and buses),275,28589,356,275
January 2011 Second Open Bidding Exercise,19/01/2011,2011,Cat C (Goods vehicles and buses),207,30000,272,196
January 2011 First Open Bidding Exercise,5/1/2011,2011,Cat C (Goods vehicles and buses),205,35111,294,205
December 2010 Second Open Bidding Exercise,22/12/2010,2010,Cat C (Goods vehicles and buses),208,33501,300,205
December 2010 First Open Bidding Exercise,8/12/2010,2010,Cat C (Goods vehicles and buses),208,32001,294,207
November 2010 Second Open Bidding Exercise,18/11/2010,2010,Cat C (Goods vehicles and buses),205,31202,241,202
November 2010 First Open Bidding Exercise,3/11/2010,2010,Cat C (Goods vehicles and buses),205,31006,270,201
October 2010 Second Open Bidding Exercise,20/10/2010,2010,Cat C (Goods vehicles and buses),210,30511,287,210
October 2010 First Open Bidding Exercise,6/10/2010,2010,Cat C (Goods vehicles and buses),218,30889,287,217
September 2010 Second Open Bidding Exercise,22/09/2010,2010,Cat C (Goods vehicles and buses),206,31001,271,201
September 2010 First Open Bidding Exercise,8/9/2010,2010,Cat C (Goods vehicles and buses),204,33000,291,190
August 2010 Second Open Bidding Exercise,18/08/2010,2010,Cat C (Goods vehicles and buses),206,30002,275,205
August 2010 First Open Bidding Exercise,4/8/2010,2010,Cat C (Goods vehicles and buses),205,30112,284,205
July 2010 Second Open Bidding Exercise,21/07/2010,2010,Cat C (Goods vehicles and buses),183,30601,285,182
July 2010 First Open Bidding Exercise,7/7/2010,2010,Cat C (Goods vehicles and buses),177,31389,277,176
June 2010 Second Open Bidding Exercise,23/06/2010,2010,Cat C (Goods vehicles and buses),182,31689,253,175
June 2010 First Open Bidding Exercise,9/6/2010,2010,Cat C (Goods vehicles and buses),178,30189,273,177
May 2010 Second Open Bidding Exercise,19/05/2010,2010,Cat C (Goods vehicles and buses),176,29389,296,170
May 2010 First Open Bidding Exercise,5/5/2010,2010,Cat C (Goods vehicles and buses),189,32501,329,187
April 2010 Second Open Bidding Exercise,21/04/2010,2010,Cat C (Goods vehicles and buses),203,35556,298,203
April 2010 First Open Bidding Exercise,7/4/2010,2010,Cat C (Goods vehicles and buses),180,36511,329,167
March 2010 Second Open Bidding Exercise,24/03/2010,2010,Cat C (Goods vehicles and buses),168,32890,341,141
March 2010 First Open Bidding Exercise,10/3/2010,2010,Cat C (Goods vehicles and buses),168,27001,257,164
February 2010 Second Open Bidding Exercise,24/02/2010,2010,Cat C (Goods vehicles and buses),173,23501,285,170
February 2010 First Open Bidding Exercise,3/2/2010,2010,Cat C (Goods vehicles and buses),165,21390,250,162
January 2010 Second Open Bidding Exercise,20/01/2010,2010,Cat C (Goods vehicles and buses),181,20090,280,173
January 2010 First Open Bidding Exercise,6/1/2010,2010,Cat C (Goods vehicles and buses),173,19001,265,173
December 2009 Second Open Bidding Exercise,23/12/2009,2009,Cat C (Goods vehicles and buses),181,17900,283,165
December 2009 First Open Bidding Exercise,9/12/2009,2009,Cat C (Goods vehicles and buses),167,18289,334,159
November 2009 Second Open Bidding Exercise,18/11/2009,2009,Cat C (Goods vehicles and buses),165,17000,257,149
November 2009 First Open Bidding Exercise,4/11/2009,2009,Cat C (Goods vehicles and buses),167,16989,252,165
October 2009 Second Open Bidding Exercise,21/10/2009,2009,Cat C (Goods vehicles and buses),174,18110,264,174
October 2009 First Open Bidding Exercise,7/10/2009,2009,Cat C (Goods vehicles and buses),167,21692,241,165
September 2009 Second Open Bidding Exercise,24/09/2009,2009,Cat C (Goods vehicles and buses),237,15000,345,228
September 2009 First Open Bidding Exercise,9/9/2009,2009,Cat C (Goods vehicles and buses),231,16001,404,230
August 2009 Second Open Bidding Exercise,19/08/2009,2009,Cat C (Goods vehicles and buses),235,17501,348,229
August 2009 First Open Bidding Exercise,5/8/2009,2009,Cat C (Goods vehicles and buses),242,18801,296,242
July 2009 Second Open Bidding Exercise,22/07/2009,2009,Cat C (Goods vehicles and buses),232,17410,376,228
July 2009 First Open Bidding Exercise,8/7/2009,2009,Cat C (Goods vehicles and buses),233,16888,289,222
June 2009 Second Open Bidding Exercise,17/06/2009,2009,Cat C (Goods vehicles and buses),241,12615,398,240
June 2009 First Open Bidding Exercise,3/6/2009,2009,Cat C (Goods vehicles and buses),237,9690,321,235
May 2009 Second Open Bidding Exercise,20/05/2009,2009,Cat C (Goods vehicles and buses),238,7600,320,228
May 2009 First Open Bidding Exercise,6/5/2009,2009,Cat C (Goods vehicles and buses),231,7100,310,225
April 2009 Second Open Bidding Exercise,22/04/2009,2009,Cat C (Goods vehicles and buses),262,6610,412,255
April 2009 First Open Bidding Exercise,8/4/2009,2009,Cat C (Goods vehicles and buses),240,7302,537,240
March 2009 Second Open Bidding Exercise,18/03/2009,2009,Cat C (Goods vehicles and buses),265,5600,516,234
March 2009 First Open Bidding Exercise,4/3/2009,2009,Cat C (Goods vehicles and buses),264,5300,512,255
February 2009 Second Open Bidding Exercise,18/02/2009,2009,Cat C (Goods vehicles and buses),272,4190,403,271
February 2009 First Open Bidding Exercise,4/2/2009,2009,Cat C (Goods vehicles and buses),264,2590,350,264
January 2009 Second Open Bidding Exercise,21/01/2009,2009,Cat C (Goods vehicles and buses),268,2900,320,260
January 2009 First Open Bidding Exercise,7/1/2009,2009,Cat C (Goods vehicles and buses),274,3502,344,274
December 2008 Second Open Bidding Exercise,17/12/2008,2008,Cat C (Goods vehicles and buses),264,4001,373,260
December 2008 First Open Bidding Exercise,3/12/2008,2008,Cat C (Goods vehicles and buses),267,5212,374,257
November 2008 Second Open Bidding Exercise,19/11/2008,2008,Cat C (Goods vehicles and buses),282,6189,368,282
November 2008 First Open Bidding Exercise,5/11/2008,2008,Cat C (Goods vehicles and buses),269,8889,353,266
October 2008 Second Open Bidding Exercise,22/10/2008,2008,Cat C (Goods vehicles and buses),270,11503,390,252
October 2008 First Open Bidding Exercise,8/10/2008,2008,Cat C (Goods vehicles and buses),266,15899,318,261
September 2008 Second Open Bidding Exercise,17/09/2008,2008,Cat C (Goods vehicles and buses),385,14890,489,379
September 2008 First Open Bidding Exercise,3/9/2008,2008,Cat C (Goods vehicles and buses),385,13889,466,383
August 2008 Second Open Bidding Exercise,20/08/2008,2008,Cat C (Goods vehicles and buses),378,12989,492,370
August 2008 First Open Bidding Exercise,6/8/2008,2008,Cat C (Goods vehicles and buses),384,12589,522,376
July 2008 Second Open Bidding Exercise,23/07/2008,2008,Cat C (Goods vehicles and buses),386,12659,497,385
July 2008 First Open Bidding Exercise,9/7/2008,2008,Cat C (Goods vehicles and buses),377,12959,535,370
June 2008 Second Open Bidding Exercise,18/06/2008,2008,Cat C (Goods vehicles and buses),383,12002,550,374
June 2008 First Open Bidding Exercise,4/6/2008,2008,Cat C (Goods vehicles and buses),377,13501,501,377
May 2008 Second Open Bidding Exercise,22/05/2008,2008,Cat C (Goods vehicles and buses),379,14756,531,373
May 2008 First Open Bidding Exercise,7/5/2008,2008,Cat C (Goods vehicles and buses),384,15889,493,384
April 2008 Second Open Bidding Exercise,23/04/2008,2008,Cat C (Goods vehicles and buses),379,18151,481,377
April 2008 First Open Bidding Exercise,9/4/2008,2008,Cat C (Goods vehicles and buses),383,18900,443,376
March 2008 Second Open Bidding Exercise,19/03/2008,2008,Cat C (Goods vehicles and buses),349,17610,453,347
March 2008 First Open Bidding Exercise,5/3/2008,2008,Cat C (Goods vehicles and buses),352,16310,550,347
February 2008 Second Open Bidding Exercise,20/02/2008,2008,Cat C (Goods vehicles and buses),349,15002,478,345
February 2008 First Open Bidding Exercise,5/2/2008,2008,Cat C (Goods vehicles and buses),357,13001,551,350
January 2008 Second Open Bidding Exercise,23/01/2008,2008,Cat C (Goods vehicles and buses),349,12501,424,345
January 2008 First Open Bidding Exercise,9/1/2008,2008,Cat C (Goods vehicles and buses),352,13000,446,340
January 2007 First Open Bidding Exercise,1/1/2007,2007,Cat C (Goods vehicles and buses),509,1,338,338
January 2007 Second Open Bidding Exercise,15/01/2007,2007,Cat C (Goods vehicles and buses),525,1,367,367
February 2007 First Open Bidding Exercise,1/2/2007,2007,Cat C (Goods vehicles and buses),679,1,506,506
February 2007 Second Open Bidding Exercise,15/02/2007,2007,Cat C (Goods vehicles and buses),665,1,337,337
March 2007 First Open Bidding Exercise,1/3/2007,2007,Cat C (Goods vehicles and buses),681,1,647,647
March 2007 Second Open Bidding Exercise,15/03/2007,2007,Cat C (Goods vehicles and buses),835,1091,1022,835
April 2007 First Open Bidding Exercise,1/4/2007,2007,Cat C (Goods vehicles and buses),479,2600,631,479
April 2007 Second Open Bidding Exercise,15/04/2007,2007,Cat C (Goods vehicles and buses),444,5289,700,442
May 2007 First Open Bidding Exercise,1/5/2007,2007,Cat C (Goods vehicles and buses),445,8300,621,444
May 2007 Second Open Bidding Exercise,15/05/2007,2007,Cat C (Goods vehicles and buses),446,10000,661,443
June 2007 First Open Bidding Exercise,1/6/2007,2007,Cat C (Goods vehicles and buses),446,6889,666,444
June 2007 Second Open Bidding Exercise,15/06/2007,2007,Cat C (Goods vehicles and buses),447,5501,605,399
July 2007 First Open Bidding Exercise,1/7/2007,2007,Cat C (Goods vehicles and buses),447,4909,691,445
July 2007 Second Open Bidding Exercise,15/07/2007,2007,Cat C (Goods vehicles and buses),492,3889,746,484
August 2007 First Open Bidding Exercise,1/8/2007,2007,Cat C (Goods vehicles and buses),447,5767,534,446
August 2007 Second Open Bidding Exercise,15/08/2007,2007,Cat C (Goods vehicles and buses),452,6890,628,443
September 2007 First Open Bidding Exercise,1/9/2007,2007,Cat C (Goods vehicles and buses),446,9539,568,437
