,Year,Month,value
426,2018,Oct,15.7
469,2018,Nov,4.8
512,2018,Dec,-1.7
40,2019,Jan,-9.4
83,2019,Feb,-8.4
126,2019,Mar,-0.4
169,2019,Apr,3.5
212,2019,May,0.0
255,2019,Jun,-5.3
298,2019,Jul,-3.2
341,2019,Aug,-7.0
384,2019,Sep,-8.1
427,2019,Oct,-6.9
470,2019,Nov,-1.7
513,2019,Dec,7.0
41,2020,Jan,11.9
84,2020,Feb,4.9
127,2020,Mar,-10.9
170,2020,Apr,-32.8
213,2020,May,-34.3
256,2020,Jun,-23.9
299,2020,Jul,-20.9
342,2020,Aug,-17.3
385,2020,Sep,-16.1
428,2020,Oct,-18.7
471,2020,Nov,-19.7
514,2020,Dec,-15.7
42,2021,Jan,-9.1
85,2021,Feb,1.1
128,2021,Mar,22.4
171,2021,Apr,49.4
214,2021,May,56.3
257,2021,Jun,51.6
300,2021,Jul,48.3
343,2021,Aug,49.3
386,2021,Sep,48.7
429,2021,Oct,56.1
472,2021,Nov,65.6
515,2021,Dec,56.8
