,Cat A (Cars up to 1600cc and 97kW),Cat B (Cars above 1600cc or 97kW),Cat C (Goods vehicles and buses),Cat D (Motorcycles),Cat E (Open)
275,61.7,62.9,56.8,76.4,47.0
276,56.7,61.3,68.1,81.2,54.0
277,43.3,66.6,50.8,81.7,38.3
278,52.1,57.9,41.3,74.3,36.8
279,64.9,61.4,63.8,82.0,48.6
280,76.9,68.8,59.6,75.2,46.8
281,87.0,74.2,64.8,66.5,55.8
282,68.7,64.9,61.8,68.6,43.8
283,85.3,76.9,65.3,71.7,56.1
284,78.2,81.5,58.3,77.9,57.2
285,69.1,80.5,47.6,74.4,68.8
286,90.6,84.7,58.0,93.6,67.7
287,87.6,89.5,65.5,76.6,62.3
288,74.4,82.5,65.9,83.7,54.2
289,77.0,81.6,68.5,81.4,55.0
290,91.7,82.9,66.1,82.2,56.7
291,75.4,76.5,56.9,87.8,58.7
292,88.5,88.2,65.8,68.9,60.7
293,89.5,80.8,81.8,81.8,60.2
294,87.8,74.3,60.6,92.5,52.6
295,84.9,74.0,76.8,83.1,54.2
296,80.8,71.1,60.3,69.9,47.3
297,70.7,65.4,73.2,79.2,53.6
298,69.2,73.6,71.2,70.7,56.3
299,68.3,79.7,72.6,66.1,50.6
300,72.9,75.4,61.9,75.3,51.9
301,68.9,68.2,44.7,71.4,59.9
302,83.7,81.0,45.3,73.7,62.5
303,77.4,81.7,49.8,62.2,58.5
304,67.7,65.1,67.2,66.8,49.5
305,91.2,89.1,75.4,60.2,60.9
306,86.9,93.0,81.2,63.7,73.0
307,70.2,82.6,79.7,68.8,68.2
308,66.4,83.6,69.7,76.6,66.3
309,58.4,77.9,68.7,64.7,55.9
310,99.4,92.9,76.6,79.1,73.1
311,90.2,90.3,75.4,71.4,70.9
312,85.4,84.4,64.6,72.7,69.5
313,79.7,84.6,82.1,55.7,65.3
314,73.4,87.4,77.5,71.9,61.4
315,93.1,89.2,82.2,76.4,58.5
316,87.8,78.6,75.2,81.2,66.6
317,89.6,88.1,72.0,65.8,71.5
318,83.1,84.1,77.5,79.0,74.0
319,82.7,79.1,69.2,62.4,68.8
320,87.3,85.9,68.0,66.1,64.6
321,81.5,87.8,75.2,63.7,72.2
322,73.0,78.8,70.2,63.3,64.9
323,92.8,87.4,77.9,77.0,62.1
324,91.4,84.4,78.4,76.5,69.2
325,78.8,81.8,84.9,76.5,64.5
326,87.3,80.0,76.6,65.0,63.4
327,79.4,72.8,63.1,71.7,56.1
328,78.3,68.6,72.2,68.9,65.3
329,71.7,77.9,63.5,67.6,61.1
330,80.4,86.1,81.4,75.1,62.9
331,84.4,74.8,76.2,89.8,65.6
332,72.2,86.8,100.0,48.7,69.6
333,84.6,89.8,100.0,60.4,73.7
334,88.3,87.4,100.0,80.1,72.3
335,94.6,91.8,100.0,76.5,76.7
336,50.6,55.6,100.0,60.6,59.1
337,56.0,68.8,81.7,80.7,57.4
338,58.5,66.8,75.9,78.0,58.4
339,65.2,71.0,63.1,62.2,59.4
340,62.7,61.7,71.5,63.1,53.2
341,76.0,65.8,67.0,58.4,57.4
342,88.4,66.3,66.7,72.1,62.0
343,85.1,77.9,66.0,56.8,62.5
344,86.7,83.8,64.4,56.3,65.1
345,81.3,81.3,64.9,65.3,67.5
346,76.7,76.4,83.5,55.6,66.5
347,94.5,87.3,70.5,73.9,69.2
348,61.4,71.3,76.9,63.0,62.7
349,70.7,70.7,76.8,62.0,62.3
350,82.9,79.8,70.0,73.1,69.5
351,87.3,82.6,79.2,73.7,64.8
352,70.7,75.6,65.8,75.4,67.2
353,87.9,84.1,71.5,65.9,67.1
354,91.5,83.7,78.9,54.5,63.6
355,80.7,70.1,75.2,74.6,65.3
356,90.3,68.1,89.1,88.9,75.4
357,86.6,85.4,71.9,79.8,84.5
358,50.5,73.1,69.6,77.5,78.3
359,55.2,68.1,77.1,84.3,67.1
360,55.7,65.8,78.5,70.2,66.0
361,63.5,69.1,75.4,60.1,69.7
362,69.6,76.0,72.5,77.5,67.1
363,80.4,83.1,74.1,71.9,69.2
364,91.6,83.3,77.6,80.0,75.3
365,89.9,81.3,79.7,87.0,74.9
366,82.5,76.9,84.4,56.4,56.0
367,92.5,86.3,63.8,79.9,63.8
368,77.1,87.4,68.0,69.7,68.1
369,79.7,81.8,61.7,80.7,65.5
370,66.5,77.9,73.3,73.4,66.7
371,65.3,77.1,53.0,87.1,58.7
372,77.2,76.0,65.8,72.3,53.6
373,76.1,75.4,40.6,80.0,58.9
374,89.5,83.8,56.6,60.4,62.8
375,96.7,82.9,84.1,65.1,65.3
376,67.1,76.5,75.5,64.1,64.0
377,76.3,74.6,93.4,93.0,64.6
378,88.5,83.3,92.7,62.7,63.3
379,92.4,87.8,100.0,65.5,70.4
380,93.8,86.9,84.9,71.2,77.4
381,66.1,62.4,82.0,68.4,68.8
382,74.0,78.4,79.1,91.6,73.8
383,80.0,78.8,84.0,53.5,62.2
384,66.3,68.5,79.2,56.3,68.1
385,77.1,83.6,81.3,40.3,74.3
386,81.9,80.7,79.4,71.5,63.6
387,86.0,81.6,83.7,67.7,67.7
388,84.2,81.2,86.6,55.4,65.4
389,88.3,82.2,81.1,72.3,67.0
390,75.7,81.6,82.4,78.3,68.6
391,82.9,84.6,86.0,64.8,72.0
392,90.7,80.2,85.4,78.9,74.3
393,79.7,78.7,81.8,64.9,71.7
394,77.2,83.7,81.3,63.5,68.8
395,90.5,77.4,85.7,74.0,76.0
396,76.9,73.2,77.9,77.2,72.7
397,89.7,87.1,86.5,71.1,76.2
398,87.3,86.7,83.1,81.8,79.2
399,46.5,61.1,80.4,79.2,67.5
400,49.4,60.5,66.7,81.7,75.6
401,57.7,75.4,81.9,77.0,70.3
402,66.9,83.7,82.9,78.5,66.6
403,86.4,91.0,86.2,85.2,71.9
404,75.0,76.4,85.1,63.0,69.2
405,72.6,78.6,74.9,62.3,66.7
406,70.5,78.0,85.6,67.9,69.4
407,75.7,82.5,84.5,76.4,82.0
408,75.6,75.7,69.5,70.7,71.1
409,72.9,79.8,64.8,54.5,76.6
410,56.9,70.2,59.1,44.9,68.7
411,64.0,69.7,69.9,58.1,72.5
412,75.8,78.0,74.9,55.2,75.3
413,86.0,79.3,74.4,20.2,69.1
414,70.8,67.7,72.8,35.6,69.2
415,84.4,76.6,79.3,62.2,59.7
416,88.5,80.8,76.7,69.6,73.1
417,91.6,82.7,75.4,53.7,76.9
418,90.1,85.7,79.0,55.5,75.8
419,86.4,88.9,81.5,64.9,74.9
420,73.3,76.3,84.3,57.3,65.0
421,91.1,82.7,88.2,76.4,75.7
422,81.2,76.1,85.2,64.5,59.9
423,66.1,79.3,88.3,65.1,74.3
424,80.5,85.5,84.1,65.9,73.7
425,81.0,85.6,80.7,85.9,73.2
426,78.2,81.4,85.3,71.7,79.0
427,93.0,88.8,83.6,68.4,77.2
428,62.0,62.7,55.7,100.0,66.5
429,80.3,71.9,74.3,100.0,72.5
430,55.7,48.9,66.9,100.0,57.2
431,59.3,57.4,72.5,100.0,71.5
432,66.8,68.7,77.4,100.0,67.7
433,69.3,67.8,85.5,100.0,64.7
434,52.0,51.2,83.9,62.5,61.4
435,54.0,53.1,86.4,66.8,61.0
436,45.0,51.1,76.2,79.0,67.5
437,55.8,57.3,85.3,69.9,59.9
438,61.5,62.7,82.8,53.0,61.8
439,64.9,70.9,80.7,73.0,66.2
440,62.5,67.5,78.6,71.3,64.8
441,78.1,73.2,78.5,74.0,66.6
442,80.4,78.1,83.6,59.6,63.4
443,83.1,80.4,81.4,81.9,68.0
444,91.6,77.5,78.5,61.6,64.6
445,52.1,67.6,73.1,59.9,65.9
446,62.7,74.9,82.5,78.2,72.0
447,75.3,84.6,78.5,59.7,74.2
448,91.2,83.0,78.6,73.3,68.7
449,82.5,86.1,81.8,73.7,63.6
450,94.2,84.2,80.9,81.2,76.6
451,80.4,89.0,81.0,45.5,75.8
452,44.0,49.2,63.6,63.3,35.1
453,60.7,50.1,60.3,77.2,53.5
454,66.1,49.7,52.4,81.2,49.5
455,81.8,60.5,62.3,79.6,47.8
456,80.0,64.3,67.5,85.7,52.8
457,82.0,62.4,71.4,83.7,51.5
458,58.6,61.0,67.3,80.7,58.3
459,67.9,65.1,73.5,77.6,72.8
460,68.0,48.3,70.1,90.9,65.6
461,74.3,62.2,72.5,91.2,63.9
462,82.9,77.3,75.7,83.0,69.5
463,86.9,75.3,79.2,96.1,65.0
464,58.3,60.3,74.5,68.9,60.7
465,68.3,64.8,79.4,91.4,65.7
466,78.1,76.6,80.4,93.4,65.1
467,68.4,67.9,77.0,100.0,75.7
468,71.4,75.3,73.2,96.8,74.5
469,86.5,74.5,79.8,100.0,72.1
