,total_lots,lots_available
1369,1284,1107
1370,379,221
1371,382,224
1372,424,221
1373,189,82
1374,267,130
1375,518,271
1376,335,172
1377,284,79
1378,393,207
1379,345,192
1380,96,40
1381,659,413
1382,162,69
1383,365,148
1384,89,43
1385,923,179
1386,295,212
1387,82,15
1388,376,237
1389,467,219
1390,212,113
1391,896,428
1393,303,87
1394,310,159
1395,362,87
1396,359,184
1397,189,92
1398,211,124
1399,145,59
1400,805,304
1401,147,41
1402,647,285
1403,86,18
1404,423,138
1405,265,97
1406,301,117
1407,266,164
1408,666,424
1409,577,251
1410,60,0
1411,291,114
1412,121,44
1413,179,62
1414,636,359
1415,37,27
1416,22,8
1417,266,97
1418,346,201
1419,348,195
1420,309,133
1421,43,19
1422,492,314
1423,747,403
1424,375,372
1425,646,420
1426,643,459
1427,63,43
1428,663,349
1429,809,788
1430,245,136
1431,4,4
1433,755,368
1434,298,178
1435,381,235
1436,63,0
1437,434,262
1438,516,339
1439,1000,0
1440,1000,720
1441,1000,218
1442,307,171
1443,622,424
1444,757,420
1445,1138,522
1446,235,150
1447,334,91
1448,232,128
1449,291,116
1450,20,1
1451,722,385
1452,620,535
1453,371,171
1454,798,541
1455,496,211
1456,1041,797
1457,555,284
1458,1158,756
1459,378,206
1460,463,216
1461,287,68
1462,19,0
1463,781,311
1464,745,286
1465,64,43
1466,414,202
1467,185,52
1468,97,63
1469,500,499
1470,500,499
1471,625,344
1472,358,193
1473,410,230
1474,609,381
1475,617,377
1476,379,237
1477,375,239
1478,556,336
1479,685,352
1480,242,97
1481,344,168
1482,76,41
1483,300,0
1484,547,355
1485,435,261
1486,573,386
1487,571,363
1488,537,371
1489,593,407
1490,914,608
1491,914,619
1492,36,0
1493,225,133
1494,418,261
1495,403,221
1496,567,228
1497,701,162
1498,209,68
1499,133,44
1501,640,290
1502,337,173
1503,214,105
1504,3,2
1505,583,320
1506,574,407
1507,659,339
1508,258,0
1509,305,217
1510,1011,477
1511,465,303
1512,524,332
1513,868,629
1514,1000,818
1515,71,18
1516,224,111
1517,4,3
1518,670,447
1519,558,262
1520,581,217
1521,377,225
1522,938,461
1523,428,254
1524,663,247
1525,145,7
1526,51,44
1527,426,171
1528,365,153
1529,293,163
1530,443,229
1531,150,70
1532,534,321
1533,290,95
1534,97,52
1535,504,200
1536,2,0
1537,648,215
1538,277,159
1539,540,296
1540,334,219
1541,326,172
1542,348,149
1543,1018,495
1544,206,117
1545,791,213
1546,608,267
1547,114,57
1548,360,23
1550,315,112
1551,85,33
1552,352,176
1553,32,0
1554,497,306
1555,364,236
1556,300,205
1557,477,174
1558,345,104
1559,474,157
1560,586,252
1561,101,7
1562,268,125
1563,57,26
1564,325,88
1565,232,72
1566,88,0
1567,561,432
1568,359,275
1569,524,305
1570,143,60
1571,255,198
1572,631,339
1573,284,153
1574,521,227
1575,566,372
1576,159,45
1577,709,319
1578,807,399
1579,150,92
1580,250,63
1581,392,185
1582,475,229
1583,537,334
1584,992,745
1585,566,208
1586,537,403
1587,567,397
1588,10,0
1589,286,140
1590,453,207
1591,170,47
1592,368,203
1593,1000,991
1594,172,66
1595,183,37
1597,809,794
1598,325,164
1599,1000,988
1600,220,45
1601,21,9
1602,480,295
1603,388,241
1604,442,261
1605,355,272
1606,392,151
1607,5,0
1608,483,130
1609,486,187
1610,400,204
1611,248,110
1612,383,279
1613,553,338
1614,204,94
1615,238,139
1616,680,312
1617,303,131
1618,370,205
1619,602,366
1620,90,55
1621,135,57
1622,250,72
1623,570,245
1624,10,9
1625,40,12
1626,328,165
1627,217,96
1628,371,93
1629,859,476
1630,339,220
1631,22,6
1632,375,236
1633,397,168
1634,524,308
1635,440,270
1636,468,149
1637,164,106
1638,1083,422
1639,264,152
1640,401,187
1641,303,128
1642,491,0
1643,246,57
1644,40,30
1645,300,236
1646,49,40
1647,234,78
1648,563,282
1649,220,93
1650,201,45
1651,20,0
1652,437,271
1653,586,302
1654,6,0
1655,499,342
1656,414,264
1657,448,356
1658,285,214
1659,104,23
1660,84,23
1662,235,60
1663,253,114
1664,392,234
1665,330,202
1666,246,159
1667,114,69
1668,689,306
1669,356,178
1670,428,243
1671,633,339
1672,435,197
1673,715,380
1674,44,0
1675,558,423
1676,440,276
1677,1259,871
1678,794,552
