max_floor_lvl,year_completed,residential,commercial,market_hawker,multistorey_carpark,bldg_contract_town,total_dwelling_units,one_room_sold,two_room_sold,three_room_sold,four_room_sold,five_room_sold
25,1998,TRUE,FALSE,FALSE,FALSE,BM,96,0,0,0,48,48
17,2001,TRUE,FALSE,FALSE,FALSE,PG,92,0,0,0,32,60
5,1997,FALSE,FALSE,FALSE,TRUE,BM,0,0,0,0,0,0
12,1994,TRUE,FALSE,FALSE,FALSE,AMK,88,0,0,0,0,88
15,2017,TRUE,FALSE,FALSE,FALSE,SB,168,0,70,28,70,0
20,1998,TRUE,FALSE,FALSE,FALSE,BM,76,0,0,0,38,38
17,2001,TRUE,FALSE,FALSE,FALSE,PG,92,0,0,0,32,60
5,1994,FALSE,FALSE,FALSE,TRUE,AMK,0,0,0,0,0,0
15,2017,TRUE,FALSE,FALSE,FALSE,SB,137,0,0,42,95,0
7,1997,FALSE,TRUE,FALSE,TRUE,BM,0,0,0,0,0,0
15,2017,TRUE,FALSE,FALSE,FALSE,SB,167,0,70,27,70,0
12,1978,TRUE,FALSE,FALSE,FALSE,GL,88,0,0,0,12,76
10,1977,TRUE,FALSE,FALSE,FALSE,AMK,90,0,0,0,90,0
12,1985,TRUE,FALSE,FALSE,FALSE,BD,110,0,0,66,44,0
14,1976,TRUE,TRUE,FALSE,FALSE,BD,155,0,0,128,26,0
9,1985,TRUE,FALSE,FALSE,FALSE,BH,116,0,0,64,50,0
1,2019,FALSE,FALSE,FALSE,FALSE,TP,0,0,0,0,0,0
10,1984,TRUE,TRUE,FALSE,FALSE,BB,81,0,0,0,81,0
13,1982,TRUE,FALSE,FALSE,FALSE,BM,144,0,0,96,48,0
3,2017,FALSE,TRUE,FALSE,FALSE,SB,0,0,0,0,0,0
4,1984,TRUE,TRUE,FALSE,FALSE,CL,42,0,0,41,0,0
2,2016,FALSE,FALSE,FALSE,TRUE,BM,0,0,0,0,0,0
4,2001,FALSE,FALSE,FALSE,TRUE,PG,0,0,0,0,0,0
4,1986,TRUE,FALSE,FALSE,FALSE,BP,40,0,0,24,16,0
